company,booth_no,booth_id
(JPE) YEAN HERN CORP.,L0022,656313
"3D Architech, Inc.",Q6134,698033
"3EGREEN TECHNOLOGY, INC.",R8121,650276
3S LINE,T9230,662018
"3S Silicon Tech., Inc.",M1154,652847
"A SUN PHOTONICS CO., LTD.",K3285,651896
ABB Ltd,R7906,654691
"AblePrint Technology Co., Ltd.",N1188,653254
ACCIO Hong Kong Catalonia Competitiveness Agency Limited,I3123,680531
Accordance Systems Inc.,P5500,653515
"Accretech Taiwan Co., Ltd.",M0348,652761
Ace Dragon Corp.,P5418,653693
ACE NANOCHEM,J2654,651612
"ACE Solution Co., Ltd.",L0609,652285
"Achilles Advanced Technology Co., Ltd.",K2587,656154
ACM Research Inc.,K2268,651717
Acro Chemical Corporation,R7721,650428
ACS Motion Control,I2822,694309
Adelis Associates Pte Ltd.,N0383,653166
"Adirtek Co., Ltd.",S7536,650509
AdNaNoTek Corporation,L1320,697769
"ADTEC Plasma Technology Co., Ltd.",M0954,652843
Advanced Dicing Technologies Ltd,N0667,656035
Advanced Echem Materials Company Limited,S7142,650572
"Advanced Energy Taiwan, Ltd.",J3246,697688
ADVANCED GLOBAL ALLIANCE PTE LTD,P6125,697915
"ADVANCED MATERIALS TECHNOLOGY & ENGINEERING, INC.",I2133,661800
Advanced Packaging Interlink Holding Pte Ltd,N1285,653207
Advanced Thermal Sciences Taiwan Corp.,P5200,653503
"ADVANTAGE SCIENTIFIC, INC",T9033,661888
"Advantec Co., Ltd.",M0458,652883
"Advantech Co., Ltd.",Q5637,653816
Advantek Taiwan Inc.,L1027,652508
"AEC Connectors co., Ltd.",T9403,661943
AEGIQ LTD,I3000,698048
Aehr Test Systems,S7330,697561
AEM Singapore Pte. Ltd.,K3290,652059
"AENEAS ELECTRONICS CO., LTD.",T9027,661883
AEROTECH INC. TAIWAN BRANCH,J2252,651383
AET Corporation,R7212,650196
"AG MATERIALS TECHNOLOGY CO., LTD.",L0810,697825
AGC Inc.,P5912,653653
"AI Technology, Inc.",L0808,655967
AIR CLEAN DEVISER TAIWAN CORP.,R7010,650852
"AISHENGKE (JIANGSU) CHEMICAL TECHNOLOGY CO., LTD.",S7145,650897
"ALASER Company, Ltd.",I2800,651030
"AL-CHARM ENTERPRISE CO., LTD.",I2600,651026
"Alinc Taiwan Co., Ltd.",I3100,681185
AlixLabs,T9404,698064
"All Ring Tech Co., Ltd.",J2846,651538
"Alliance Material Co., Ltd.",N1066,652988
Allied Supreme Corporation,L1116,654770
"ALMATEC CO., LTD.",T9401,661947
AlphaSense,H0013,679923
AMAZING COOL TECHNOLOGY CORPORATION.,L0924,652483
American Institute in Taiwan,S7330,697566
American State Offices Association,S7330,654680
"Ametek Taiwan Corp., Ltd.",R7200,698222
"AMFLO Fluid System & Components Co., Ltd.",P5123,654259
"AMIDA Technology,Inc.",K3184,651895
"AMIES Technology Co., Ltd.",N0052,653341
Analog Devices Taiwan Limited,P5504,653565
Analogue Insight Ltd,I3000,698049
ANCORP,S7330,698713
ANDRITZ SINGAPORE PTE LTD,R7705,650372
Aniah,T9404,698065
Anupam Rasayan India Limited,T9518,662047
AP Systems Semiconductor,J3046,697784
AP Tech (Advanced Pressure Technology),L0530,652549
"APEX UNION TECHNOLOGIES CO., LTD",S7240,650548
"APM COMMUNICATION, INC.",R7624,683389
"Apogee Optocom Co.,Ltd.",R7200,698225
"Applied Nano Technology Science, Inc.",L0916,652388
"Applied Seals Co., Ltd. (Taiwan)",I2226,651290
Aquafine Corporation,R7821,650271
"AQUSEN Technology Co., Ltd",L0126,652494
ARCHIACT TECHNOLOGY CORPORATION,P5519,653692
"ARCS Precision Technology Co, Ltd.",K2282,651003
Argal srl,R7523,698147
Arizona Commerce Authority,S7330,697559
"ARKTEK CO., LTD.",K2040,652117
AROX,R8000,698681
"ARS CO.,LTD.",X0001,654290
AS Strömungstechnik GmbH,T9112,661957
ASCENTEX INDUSTRY Corp.,N0862,652937
Asia Air Precision Technology Ltd.,Q5952,654649
"Asia Chiying Technology Co.,Ltd",R7400,650357
"Asia IC Mic-Process, Inc.",K2383,651857
"Asia Neo Tech Industrial Co.,Ltd.",L1227,654780
Asiatic Fiber Corporation,R8223,655714
ASKINDEX TAIWAN TECH CORP.,L0025,652162
Asmith Manufacturing Company,S7006,650868
ASMPT,L0716,655443
Asterquanta Systems Inc,Q6158,697965
ASYS CORPORATION,S8152,650712
ATA Engineering Corporation,L0923,652458
"Atech Peripherals, Inc.",S8242,662125
A-Tech Technology Corp.,K2366,655954
"Atecom Technology Co., Ltd.",J2934,651418
"Atkinsorb Co., Ltd",I2124,650918
Atlas Copco Taiwan Ltd.,R7924,650308
Atlas Technology Corporation,R7418,655745
"ATOCK Co., Ltd.",Q6235,696203
Atotech Taiwan Ltd,I2130,650952
ATP ELECTRONICS TAIWAN INC.,R7200,698327
ATT Systems GmbH,N0483,653168
"AUROS Technology, Inc.",Q5658,653990
Avex-SG Technology Inc.,J3038,651462
AVVA R&D Corp.,N0970,653035
AWESOMENICS INC.,K3083,651872
"Awesome-Team Co., Ltd",N0491,653264
Axelera AI,R8000,698676
"Bailingtek Co., Ltd.",P5819,653698
Ball Wave Inc,Q6134,698034
Bavaria,R7112,650195
"Bay Union Abrasive Technology Co., Ltd.",R8206,650160
"Beckhoff Automation Co., Ltd.",Q5544,653878
"Beijing Airport Beiguang Instruments Co., Ltd",T9058,661930
BenQ Materials Corporation,M0657,655812
"Berny CO.,LTD",R8305,696135
Besi (BE Semiconductor Industries N.V.),M0438,652643
"Best Integration Technology Co., Ltd.",K2167,661803
"Bestac Advanced Material Co., Ltd",J3138,655785
"Bethel Co.,Ltd.",Q6235,696204
Bison Advanced Technology,P5118,653460
BIZLINK INTERNATIONAL CORPORATION,S8236,650830
"BLIKSEN CO.,LTD.",K2486,656153
BNSR,R7312,697756
"Bo-Jiang Technology Co., Ltd.",S8243,662135
