verdict,tier,status,host,url,note
ERROR,1,429,www.adlibris.com,https://www.adlibris.com/,page1 http 429
ERROR,1,400,www.douglas.de,https://www.douglas.de/,page1 http 400
ERROR,1,429,www.elgiganten.se,https://www.elgiganten.se/,page1 http 429
ERROR,1,418,www.qvc.de,https://www.qvc.de/,page1 http 418
ERROR,1,403,www.zalando.de,https://www.zalando.de/,page1 http 403
ERROR,1,0,www.zalando.se,https://www.zalando.se/,ReadTimeout: The read operation timed out
NO_NEXT_LINK,1,200,32bit.cafe,https://32bit.cafe/,no pagination found
NO_NEXT_LINK,1,200,basementcommunity.com,https://basementcommunity.com/,no pagination found
NO_NEXT_LINK,1,200,cameronsworld.net,https://cameronsworld.net/,no pagination found
NO_NEXT_LINK,2,200,cloudhiker.net,https://cloudhiker.net/,no pagination found
NO_NEXT_LINK,2,200,dogfoodadvisor.com,https://dogfoodadvisor.com/,no pagination found
NO_NEXT_LINK,2,200,everynoise.com,https://everynoise.com/,no pagination found
NO_NEXT_LINK,2,200,flashmuseum.org,https://flashmuseum.org/,no pagination found
NO_NEXT_LINK,1,200,floor796.com,https://floor796.com/,no pagination found
NO_NEXT_LINK,1,200,gradient.horse,https://gradient.horse/,no pagination found
NO_NEXT_LINK,1,200,imissmycafe.com,https://imissmycafe.com/,no pagination found
NO_NEXT_LINK,1,200,itch.io,https://itch.io/,no pagination found
NO_NEXT_LINK,1,200,lofi.town,https://lofi.town/,no pagination found
NO_NEXT_LINK,1,200,marginalia.nu,https://marginalia.nu/,no pagination found
NO_NEXT_LINK,1,200,melonking.net,https://melonking.net/,no pagination found
NO_NEXT_LINK,1,200,midnight.pub,https://midnight.pub/,no pagination found
NO_NEXT_LINK,2,200,nekoweb.org,https://nekoweb.org/,no pagination found
NO_NEXT_LINK,2,200,nightmind.info,https://nightmind.info/,no pagination found
NO_NEXT_LINK,1,200,penpalworld.com,https://penpalworld.com/,no pagination found
NO_NEXT_LINK,2,200,pixeljoint.com,https://pixeljoint.com/,no pagination found
NO_NEXT_LINK,1,200,rejectconvenience.com,https://rejectconvenience.com/,no pagination found
NO_NEXT_LINK,2,200,sheezy.art,https://sheezy.art/,no pagination found
NO_NEXT_LINK,2,200,sirkadeansidequests.com,https://sirkadeansidequests.com/,no pagination found
NO_NEXT_LINK,1,200,spacehey.com,https://spacehey.com/,no pagination found
NO_NEXT_LINK,2,200,springhole.net,https://springhole.net/,no pagination found
NO_NEXT_LINK,1,200,texs.org,https://texs.org/,no pagination found
NO_NEXT_LINK,1,200,theuselessweb.org,https://theuselessweb.org/,no pagination found
NO_NEXT_LINK,1,200,wiby.org,https://wiby.org/,no pagination found
NO_NEXT_LINK,1,200,writeexpress.com,https://writeexpress.com/,no pagination found
NO_NEXT_LINK,2,200,www.aboutyou.de,https://www.aboutyou.de/,no pagination found
NO_NEXT_LINK,1,200,www.afound.com,https://www.afound.com/,no pagination found
NO_NEXT_LINK,1,200,www.ahlens.se,https://www.ahlens.se/,no pagination found
NO_NEXT_LINK,1,200,www.apotea.se,https://www.apotea.se/,no pagination found
NO_NEXT_LINK,1,200,www.apoteket.se,https://www.apoteket.se/,no pagination found
NO_NEXT_LINK,1,200,www.apple.com,https://www.apple.com/,no pagination found
NO_NEXT_LINK,2,200,www.asos.com,https://www.asos.com/,no pagination found
NO_NEXT_LINK,2,200,www.bauhaus.info,https://www.bauhaus.info/,no pagination found
NO_NEXT_LINK,2,200,www.baur.de,https://www.baur.de/,no pagination found
NO_NEXT_LINK,1,200,www.biltema.se,https://www.biltema.se/,no pagination found
NO_NEXT_LINK,1,200,www.blocket.se,https://www.blocket.se/,no pagination found
NO_NEXT_LINK,1,200,www.bonprix.de,https://www.bonprix.de/,no pagination found
NO_NEXT_LINK,1,200,www.boozt.com,https://www.boozt.com/,no pagination found
NO_NEXT_LINK,1,200,www.breuninger.com,https://www.breuninger.com/,no pagination found
NO_NEXT_LINK,1,200,www.calculator.net,https://www.calculator.net/,no pagination found
NO_NEXT_LINK,1,200,www.cdon.se,https://www.cdon.se/,no pagination found
NO_NEXT_LINK,1,200,www.coop.se,https://www.coop.se/,no pagination found
NO_NEXT_LINK,2,200,www.cyclingweekly.com,https://www.cyclingweekly.com/,no pagination found
NO_NEXT_LINK,1,200,www.deichmann.com,https://www.deichmann.com/,no pagination found
NO_NEXT_LINK,2,200,www.docmorris.de,https://www.docmorris.de/,no pagination found
NO_NEXT_LINK,1,200,www.ellos.se,https://www.ellos.se/,no pagination found
NO_NEXT_LINK,2,200,www.galaxus.de,https://www.galaxus.de/,no pagination found
NO_NEXT_LINK,2,200,www.gravis.de,https://www.gravis.de/,no pagination found
NO_NEXT_LINK,1,200,www.ica.se,https://www.ica.se/,no pagination found
NO_NEXT_LINK,1,200,www.ikea.com,https://www.ikea.com/,no pagination found
NO_NEXT_LINK,1,200,www.ikea.se,https://www.ikea.se/,no pagination found
NO_NEXT_LINK,1,200,www.inet.se,https://www.inet.se/,no pagination found
NO_NEXT_LINK,2,200,www.jysk.se,https://www.jysk.se/,no pagination found
NO_NEXT_LINK,1,200,www.k-bygg.se,https://www.k-bygg.se/,no pagination found
NO_NEXT_LINK,1,200,www.kicks.se,https://www.kicks.se/,no pagination found
NO_NEXT_LINK,1,200,www.kitchentime.se,https://www.kitchentime.se/,no pagination found
NO_NEXT_LINK,2,200,www.komplett.se,https://www.komplett.se/,no pagination found
NO_NEXT_LINK,2,200,www.kontorsgiganten.se,https://www.kontorsgiganten.se/,no pagination found
NO_NEXT_LINK,2,200,www.lekmer.se,https://www.lekmer.se/,no pagination found
NO_NEXT_LINK,1,200,www.lidl.de,https://www.lidl.de/,no pagination found
NO_NEXT_LINK,1,200,www.lyko.se,https://www.lyko.se/,no pagination found
NO_NEXT_LINK,1,200,www.mango.com,https://www.mango.com/,no pagination found
NO_NEXT_LINK,1,200,www.mathem.se,https://www.mathem.se/,no pagination found
NO_NEXT_LINK,2,200,www.mio.se,https://www.mio.se/,no pagination found
NO_NEXT_LINK,1,200,www.mytheresa.com,https://www.mytheresa.com/,no pagination found
NO_NEXT_LINK,1,200,www.na-kd.com,https://www.na-kd.com/,no pagination found
NO_NEXT_LINK,1,200,www.nelly.com,https://www.nelly.com/,no pagination found
NO_NEXT_LINK,2,200,www.netonnet.se,https://www.netonnet.se/,no pagination found
NO_NEXT_LINK,2,200,www.obi.de,https://www.obi.de/,no pagination found
NO_NEXT_LINK,2,200,www.otto.de,https://www.otto.de/,no pagination found
NO_NEXT_LINK,1,200,www.postcrossing.com,https://www.postcrossing.com/,no pagination found
NO_NEXT_LINK,2,200,www.proteinbolaget.se,https://www.proteinbolaget.se/,no pagination found
NO_NEXT_LINK,1,200,www.refurbed.de,https://www.refurbed.de/,no pagination found
NO_NEXT_LINK,1,200,www.reichelt.de,https://www.reichelt.de/,no pagination found
NO_NEXT_LINK,2,200,www.rewe.de,https://www.rewe.de/,no pagination found
NO_NEXT_LINK,1,200,www.rusta.se,https://www.rusta.se/,no pagination found
NO_NEXT_LINK,1,200,www.sellpy.se,https://www.sellpy.se/,no pagination found
NO_NEXT_LINK,2,200,www.shein.com,https://www.shein.com/,no pagination found
NO_NEXT_LINK,2,200,www.shop-apotheke.com,https://www.shop-apotheke.com/,no pagination found
NO_NEXT_LINK,2,200,www.sportamore.com,https://www.sportamore.com/,no pagination found
NO_NEXT_LINK,2,200,www.spreadshirt.de,https://www.spreadshirt.de/,no pagination found
NO_NEXT_LINK,1,200,www.stadium.se,https://www.stadium.se/,no pagination found
NO_NEXT_LINK,1,200,www.tchibo.de,https://www.tchibo.de/,no pagination found
NO_NEXT_LINK,2,200,www.temashop.se,https://www.temashop.se/,no pagination found
NO_NEXT_LINK,2,200,www.thomann.de,https://www.thomann.de/,no pagination found
NO_NEXT_LINK,2,200,www.tradera.com,https://www.tradera.com/,no pagination found
NO_NEXT_LINK,1,200,www.unitconverters.net,https://www.unitconverters.net/,no pagination found
NO_NEXT_LINK,1,200,www.webhallen.se,https://www.webhallen.se/,no pagination found
NO_NEXT_LINK,1,200,www.westwing.de,https://www.westwing.de/,no pagination found
NO_NEXT_LINK,2,200,www.windeln.de,https://www.windeln.de/,no pagination found
NO_NEXT_LINK,2,200,www.xxl.se,https://www.xxl.se/,no pagination found
NO_NEXT_LINK,1,200,www.zoo.se,https://www.zoo.se/,no pagination found
PAGINATED_OK,1,200,retrododo.com,https://retrododo.com/,next=https://retrododo.com/page/2/
PAGINATED_OK,1,200,www.themarginalian.org,https://www.themarginalian.org/,next=https://www.themarginalian.org/page/2/
